"2007/01/16","17:45","NZD","H","CPI q/q","-0.2%","-0.1%","0.7%","","03355"
"2007/01/16","17:45","NZD","L","FPI m/m","-0.5%","","0.1%","","03356"
"2007/01/16","19:30","AUD","L","MI Leading Index m/m","0.5%","","0.5%","","10431"
"2007/01/16","19:50","JPY","L","Current Account","1.95T","2.10T","2.02T","","09805"
"2007/01/17","01:00","JPY","L","Consumer Confidence","45.9","48.0","48.7","","03358"
"2007/01/17","03:00","EUR","L","German Final CPI m/m","0.8%","0.8%","0.8%","","03359"
"2007/01/17","05:30","GBP","H","Claimant Count Change","-5.5K","-5.0K","-7.9K","-5.7K","03360"
"2007/01/17","05:30","GBP","L","Unemployment Rate","5.5%","5.5%","5.5%","","03362"
"2007/01/17","05:30","GBP","M","Average Earnings Index 3m/y","4.1%","4.2%","4.1%","","03361"
"2007/01/17","06:00","EUR","L","Final Core CPI y/y","1.5%","1.5%","1.5%","","09530"
"2007/01/17","06:00","EUR","L","Final CPI y/y","1.9%","1.9%","1.9%","","09529"
"2007/01/17","06:00","EUR","L","Trade Balance","4.5B","2.5B","2.4B","1.7B","03364"
"2007/01/17","09:30","USD","H","PPI m/m","0.9%","0.6%","2.0%","","03365"
"2007/01/17","09:30","USD","M","Core PPI m/m","0.2%","0.1%","1.3%","","03366"
"2007/01/17","10:00","USD","H","TIC Long-Term Purchases","68.4B","82.5B","89.3B","82.3B","03367"
"2007/01/17","10:15","USD","M","Capacity Utilization Rate","81.8%","81.8%","81.6%","81.8%","03369"
"2007/01/17","10:15","USD","M","Industrial Production m/m","0.4%","0.1%","-0.1%","0.2%","03368"
"2007/01/17","14:00","USD","L","NAHB Housing Market Index","35","33","33","32","03370"
"2007/01/17","14:00","USD","M","FOMC Member Mishkin Speaks","","","","","03374"
"2007/01/17","15:00","USD","M","Beige Book","","","","","03371"
"2007/01/17","19:50","JPY","M","Tertiary Industry Activity m/m","-0.3%","0.0%","2.1%","","03373"
"2007/01/17","20:30","AUD","L","RBA Bulletin","","","","","11012"
"2007/01/17","23:45","JPY","L","30-y Bond Auction","2.38|3.3","","2.52|3.0","","49058"
"2007/01/18","00:00","JPY","H","Overnight Call Rate","0.25%","0.50%","0.25%","","03372"
"2007/01/18","02:00","JPY","L","BOJ Monthly Report","","","","","11027"
"2007/01/18","02:30","JPY","M","BOJ Press Conference","","","","","08351"
"2007/01/18","04:15","CHF","M","Retail Sales y/y","3.3%","1.6%","0.6%","","03377"
"2007/01/18","05:00","EUR","L","Italian Trade Balance","-0.92B","-1.12B","-0.86B","-0.83B","09160"
"2007/01/18","05:37","EUR","L","Spanish 10-y Bond Auction","4.10|2.3","","3.99|1.8","","43312"
"2007/01/18","06:00","CHF","M","ZEW Economic Expectations","-10.8","","-23.7","","10499"
"2007/01/18","06:00","EUR","M","ECB Monthly Bulletin","","","","","08460"
"2007/01/18","07:00","GBP","M","MPC Member Besley Speaks","","","","","09292"
"2007/01/18","09:30","CAD","M","Foreign Securities Purchases","11.00B","-2.48B","-4.18B","-5.00B","03387"
"2007/01/18","09:30","CAD","M","Manufacturing Sales m/m","2.3%","2.0%","0.2%","-0.1%","11232"
"2007/01/18","09:30","USD","H","Core CPI m/m","0.2%","0.2%","0.0%","","03383"
"2007/01/18","09:30","USD","L","Unemployment Claims","290K","315K","298K","299K","03386"
"2007/01/18","09:30","USD","M","Building Permits","1.60M","1.53M","1.51M","","03385"
"2007/01/18","09:30","USD","M","CPI m/m","0.5%","0.5%","0.0%","","03382"
"2007/01/18","09:30","USD","M","Housing Starts","1.64M","1.57M","1.57M","1.59M","03384"
"2007/01/18","11:00","USD","H","Fed Chairman Bernanke Testifies","","","","","03381"
"2007/01/18","11:30","CAD","H","BOC Monetary Policy Report","","","","","03402"
"2007/01/18","11:30","USD","L","Crude Oil Inventories","6.8M","0.1M","-5.0M","","03388"
"2007/01/18","11:30","USD","L","Natural Gas Storage","-89B","-79B","-49B","","08324"
"2007/01/18","12:15","CAD","H","BOC Press Conference","","","","","13110"
"2007/01/18","13:00","USD","M","Philly Fed Manufacturing Index","8.3","3.0","-4.3","","03389"
"2007/01/18","17:45","NZD","H","Core Retail Sales m/m","-0.1%","0.1%","0.1%","0.2%","08973"
"2007/01/18","17:45","NZD","H","Retail Sales m/m","-0.2%","0.0%","0.3%","","03390"
"2007/01/18","20:30","AUD","L","Import Prices q/q","-3.2%","-1.5%","-0.3%","","03391"
"2007/01/19","05:30","GBP","H","Retail Sales m/m","1.1%","0.5%","0.2%","0.3%","03392"
"2007/01/19","05:30","GBP","L","M4 Money Supply m/m","0.9%","0.6%","0.5%","","11776"
"2007/01/19","05:30","GBP","L","Public Sector Net Borrowing","7.2B","7.4B","11.2B","9.9B","03393"
"2007/01/19","09:30","CAD","M","Wholesale Sales m/m","0.1%","0.5%","-0.4%","-0.2%","03394"
"2007/01/19","11:00","USD","H","Prelim UoM Consumer Sentiment","98.0","92.5","91.7","90.2","03395"
"2007/01/19","11:00","USD","L","Prelim UoM Inflation Expectations","3.0%","","2.9%","","09950"
"2007/01/21","20:01","GBP","L","Rightmove HPI m/m","0.5%","","-0.3%","","03415"
"2007/01/21","20:30","AUD","H","PPI q/q","0.2%","0.2%","1.0%","","03416"
"2007/01/21","20:30","AUD","L","New Motor Vehicle Sales m/m","0.8%","","-0.7%","-0.9%","03456"
